#{"t_start": 1761658741.310066, "env_id": "None"}
r,l,t
-12648.154771,850,608.602766
-4609.058355,1137,610.124308
-7131.7875,1493,612.002477
-11438.757545,1805,617.384567
-324.587596,417,618.341803
-4602.027271,1135,619.91341
2562.083257,342,620.727419
-5022.710857,1477,622.523098
-4722.135746,1502,624.357639
-15459.156792,1960,626.614058
-5100.439758,700,630.986203
-11908.847122,1519,632.837047
-6125.768173,1404,634.617752
-5432.587061,1021,636.036938
-25258.239404,2530,638.723085
-4528.599798,1152,643.355514
-5113.370197,1827,645.484606
-9265.636039,1967,647.638808
-5178.174879,1939,649.819607
-20161.534304,1851,651.906358
-17257.166071,949,656.416572
-1433.443722,1518,658.299232
-23183.81175,1950,660.535855
-8905.258043,414,661.602782
-29237.536193,2090,663.948532
-5326.45679,1559,665.792815
-5316.819449,1052,670.400624
-5331.732329,1322,672.066256
-5678.455811,1368,673.781086
-4890.626173,997,675.175684
-5817.768023,1950,677.360068
-4833.31097,1080,678.835948
-4781.195027,2179,684.571303
-20368.191382,2015,686.825252
633.103027,340,687.636033
-11201.202043,1955,689.842386
-13223.559902,2189,695.189769
-5212.135078,961,696.669678
-14996.509262,803,697.919039
-13942.884335,2308,700.386932
-6928.855293,1784,702.407622
-4730.306523,964,703.770412
3446.89307,340,704.595423
-7509.681936,1063,709.251985
-11466.117201,1927,711.532875
-17886.526835,1593,713.420166
-3465.203927,2700,716.169493
-6191.782814,1520,717.977568
-14028.129284,1306,722.999872
-9542.570474,1622,724.941589
-11453.296003,425,725.851787
-7435.546427,1630,727.795835
-17769.01526,2462,730.31672
-4568.749698,926,734.772767
-12081.374142,2279,737.359557
-16161.871896,1425,739.116163
-18410.963499,1422,740.785443
-12678.037505,1492,742.626218
-6022.659563,2519,748.613176
-17777.430124,1454,750.415514
-4865.147587,1053,751.801524
-5194.131901,809,753.054984
-8952.901903,1673,755.121312
-16014.518054,2641,761.121095
-9068.110773,1331,762.860866
-5992.863259,1784,764.866591
-18042.845982,1644,766.821753
-15912.941043,1754,768.851445
-5595.785357,1586,773.965271
-5380.303268,1446,775.732827
-22656.685639,1981,777.920081
-5990.306201,1240,779.556535
-4955.851116,1441,781.335106
-11734.90517,2311,787.12459
-8576.029998,2700,789.912538
-12832.580128,1749,791.932761
-24930.45849,1789,793.971318
2370.600607,2700,801.079815
-4918.45313,1701,803.094509
-5768.234335,2411,806.42154
-14388.632397,1825,809.416064
-16687.622922,1400,815.277791
-18094.997282,1667,817.345418
-14223.334231,1565,819.477591
-14577.484599,1629,821.876348
-9932.14337,991,823.423192
-19859.272226,2200,830.695071
-4019.742969,1458,832.791559
-21142.355957,1753,835.1659
-5411.258221,1260,836.862445
-16645.75609,1778,839.177698
-19403.895779,1691,846.794694
-6310.157057,2212,849.527451
2897.274479,340,850.370098
-5768.5847,2070,852.887838
-25247.589014,1312,854.57935
-17469.907916,1420,859.880768
-18621.185916,1539,861.96119
-12680.530421,1596,864.004733
-17556.9505,2089,866.63855
-24352.013828,2645,873.360847
-24502.894679,2700,876.486916
-5187.047135,1113,878.014585
-1252.522997,1114,879.57447
2246.953905,414,880.465903
-7115.927548,655,881.637182
832.80104,414,882.714671
-5396.781697,1127,884.236213
2731.867285,340,885.071488
-3500.219677,1846,890.818887
-15423.627413,2700,894.451206
-10189.438454,1498,896.677651
-4592.34261,1199,898.516011
-4101.868418,1591,905.333372
-5274.954765,925,907.127334
-8129.796384,954,908.598836
-5536.884097,1899,911.116332
-7729.960446,2569,914.287593
-4329.2353,1167,916.091717
-11050.799151,786,921.023766
-4591.695284,1157,922.723411
-4645.002307,887,924.052481
-4756.201062,902,925.503216
-11609.665737,2700,928.460133
-5097.111009,1084,929.937838
-21639.611102,1847,936.564308
-14175.485705,1147,938.710764
-6175.050621,1410,941.012133
-4994.281286,1157,942.81652
-9895.089158,1375,944.814963
-1992.711703,1925,950.920429
2311.514995,414,952.063298
-4974.739961,1499,954.197712
-4652.059475,1005,956.082564
-13538.469977,2700,959.318895
-9248.899577,1229,960.983896
-5039.99946,1165,966.246074
-6103.468285,1090,968.135356
-8010.842911,913,969.905168
-16160.694345,1410,972.571843
818.488725,340,973.42123
-4910.312142,1220,975.023764
-27095.949857,2476,977.776705
-2306.261397,1649,983.217254
-4488.804544,420,984.201043
-27739.618241,2700,987.140004
-37149.227791,2301,989.573616
-26981.375344,1536,991.399781
-17871.449973,2319,997.27192
-9771.345916,2019,999.526757
-15540.429672,1335,1001.188765
-4590.570482,1177,1002.765134
3757.310168,340,1003.608894
-5092.591519,1714,1008.943294
-5591.294071,1218,1010.596062
2515.556351,340,1011.415679
-5810.884152,1460,1013.176602
-21791.852528,2700,1015.959897
-5677.926741,886,1017.278242
-18003.017015,1373,1022.349272
-4593.533597,986,1023.821603
-11792.486109,1764,1025.853232
-7833.521477,2211,1028.363734
3251.22896,1234,1029.970303
-5069.142339,959,1031.355308
-14113.318394,876,1035.983432
-12754.324537,1229,1037.646332
-4900.619492,1316,1039.329865
-11330.417642,2030,1041.710608
2792.939678,340,1042.532768
-12093.779096,1814,1044.707591
-7657.118421,1165,1049.561093
-18803.606963,1470,1051.448343
-7177.770536,912,1052.790704
-11482.003757,1736,1054.818074
-4834.983927,1146,1056.396306
-17607.961731,2175,1058.834336
-17459.59551,2210,1064.826268
-22174.197551,1710,1066.780083
-18895.252541,2254,1069.275715
-20203.313662,2254,1071.711082
-2835.998426,340,1075.785428
-5395.932585,1403,1077.560898
-6362.607051,2113,1079.869131
-4683.515414,1424,1081.745107
-4997.562016,741,1082.969075
-9344.322896,2063,1085.294108
-4978.304373,1670,1090.455992
-2727.034228,1692,1092.433238
-4392.97783,1782,1094.487622
-16876.68857,1595,1096.415094
-14495.218311,2546,1102.304159
-5303.56326,743,1103.538229
-4909.085368,909,1104.89203
3249.453978,340,1105.733749
-18020.929846,1743,1107.887914
-4976.526929,782,1109.140931
-10021.996666,1760,1111.229121
-22676.522873,2319,1116.953221
-4955.076956,1499,1118.759819
-3547.46293,2657,1121.50859
-20765.366199,1853,1123.616934
-3986.948118,1323,1128.572241
-12194.979455,944,1129.972125
-5407.099881,810,1131.244809
-18956.344276,1795,1133.304424
-9505.238126,1710,1135.413793
2994.560803,414,1136.3218
-5127.152903,1119,1137.907464
-4668.689588,748,1142.304668
-5482.848098,1106,1143.930463
-6012.457048,1130,1145.46783
-4915.327716,940,1146.890939
-16899.977458,2382,1149.711332
-4909.364438,1101,1151.423293
-25382.504949,2428,1157.309437
-17356.10571,2315,1159.900749
-1015.934708,2700,1162.722098
-5197.863513,1192,1164.278493
1717.542753,340,1165.133444
-16228.676582,1826,1170.653365
-16761.07732,2202,1173.093819
-4278.068839,919,1174.428601
-15458.776036,1192,1176.057414
-8312.24669,412,1176.974322
-4339.163254,1772,1179.053339
-4871.816562,715,1183.8653
3651.4363,414,1184.942555
-17633.166639,2015,1187.317336
-4673.070976,908,1188.714199
-5316.08849,418,1189.630947
-5340.517685,903,1190.993052
-3189.090009,2227,1193.44716
-12802.003241,2469,1199.343925
-5422.505497,2140,1201.722318
-12187.709691,1387,1203.46613
-11212.77903,1223,1205.120498
-3113.326875,2426,1211.069138
-4889.085912,869,1212.436955
-4610.569532,874,1213.993747
-12649.891034,1673,1216.203725
-6792.880979,1102,1217.742425
-4914.112862,781,1218.993326
-11115.939377,1840,1224.171747
-112.567622,414,1225.219039
-4981.926856,1265,1226.963994
-7403.977028,923,1228.378558
-5424.693391,1265,1230.051042
-4889.357676,642,1231.202532
-7231.763438,1372,1232.936553
-11552.597829,1481,1234.727396
-12740.726689,1603,1239.910549
-10251.555237,520,1241.020986
-5538.196076,1154,1242.610744
-151.391159,2424,1245.19562
-8611.926652,2228,1247.557483
-6242.898211,1799,1252.95237
-5164.614075,1192,1254.558191
2937.949835,340,1255.374783
-18213.08821,2635,1258.089492
-4631.219352,856,1259.371851
-5096.398605,2700,1265.437946
-15357.947414,1184,1267.117743
-17092.447888,1721,1269.122049
-4333.022945,1356,1270.83852
-5269.833044,1146,1272.394972
-4833.459682,887,1273.783132
-5089.118603,992,1275.298659
-15804.050857,1913,1280.845878
-5217.466272,1195,1282.387808
-10697.491966,1431,1284.140711
239.137808,340,1284.957488
-5139.990529,837,1286.277415
-4735.110542,827,1287.611617
-16209.934559,2337,1293.390963
-13842.582855,1754,1295.480585
-16442.759081,1693,1297.549887
-4757.560785,1338,1299.274893
-16962.322972,2230,1301.733332
-15214.396997,1992,1307.215503
-4670.796411,1106,1308.750891
-10932.486213,1673,1310.773228
-12320.582951,1959,1312.984412
-6068.578051,1835,1315.362423
-18383.358385,2684,1323.135646
-4696.544325,1704,1325.049057
-18390.163305,1564,1326.910874
-4662.630414,893,1328.222094
-2531.181305,881,1329.551825
-9859.811464,2349,1335.39179
-10463.150007,1715,1337.309387
-4633.503074,1122,1338.85021
-16848.368257,2083,1341.105589
-6404.969724,943,1342.484523
-7096.00439,1547,1347.731184
-16436.264171,1441,1349.72942
-5370.127617,1188,1351.254776
-5636.33829,1718,1353.243723
3784.944185,414,1354.125181
