#{"t_start": 1761611730.7813106, "env_id": "None"}
r,l,t
31.098091,340,401.041972
151.536206,414,401.92087
237.981447,348,402.759576
266.127426,1589,404.647814
-1704.58795,2171,410.254552
194.589025,340,411.063628
526.300311,340,412.053169
-232.985129,340,412.923017
289.252969,340,413.781902
424.929643,340,414.632773
-1101.87057,1692,416.602807
-1363.739812,340,417.414732
149.255627,414,418.325852
-784.003874,1507,420.226174
-984.813636,411,421.102702
682.253537,340,425.009437
1008.550516,405,425.943939
-1110.81765,1526,427.838022
192.703366,415,428.739008
1414.970669,414,429.675499
433.582337,424,430.619288
289.575601,1776,432.774216
590.636374,416,433.674593
-1701.94906,2425,439.315495
-540.8869,340,440.257879
-102.403519,340,441.151988
-3579.97187,1320,442.876732
199.747687,340,443.71336
-2528.325616,1576,445.602112
115.645273,414,446.444703
414.139987,414,447.339321
11.275307,414,448.240598
-456.414953,414,449.165367
-95.179239,1700,451.203771
301.354209,340,452.055495
1108.776092,414,452.987731
1257.225858,2643,458.986897
722.937615,465,459.970459
-1398.298212,1313,461.686207
-1489.179605,1180,463.255629
1360.524459,409,464.141152
219.743044,424,465.083099
818.890973,340,465.947296
625.680292,340,466.818905
460.821757,340,467.700434
-781.801023,1523,472.714179
550.125294,340,473.654289
312.745933,418,474.627385
-1657.513355,1064,476.126432
-2695.582242,1137,477.621101
1714.713786,417,478.498821
301.036642,340,479.374389
-2556.650295,1092,480.863038
-315.727841,340,481.641596
-4.995665,413,482.527692
30.55333,1595,484.422419
-175.106411,445,488.459845
-1312.208925,1616,490.429601
-1519.284404,1245,491.991872
-1571.577257,883,493.280205
-163.734044,414,494.182012
610.681455,340,495.025899
-1142.336002,413,495.927418
312.745925,340,496.781862
18.784491,418,497.680544
-1225.003621,1219,499.338792
-144.22959,431,500.237289
-2116.287662,1360,505.018602
1425.989415,340,505.867802
120.40001,340,506.727856
240.262822,419,507.649411
453.702173,341,508.49062
405.756321,405,509.42094
-2563.344709,1714,511.561942
-664.076466,414,512.456943
2186.57187,439,513.376893
184.452016,340,514.225714
256.368532,1505,516.105619
-1687.652996,2184,521.654294
183.608466,340,522.491879
-1601.9475,912,523.83446
-119.308117,340,524.638165
-450.313717,414,525.509572
656.150688,414,526.4335
-1383.312685,1063,527.895832
-1487.01962,1038,529.328367
-1610.708464,1016,530.720297
1074.437079,1689,536.355566
-2295.978853,1190,538.387563
-271.459719,425,539.353307
-1451.244288,425,540.379205
-2270.905461,1714,542.945256
-802.664062,760,544.434731
249.942096,340,545.64262
805.893102,414,546.88737
-549.479654,425,548.176893
1332.929957,339,549.376399
-1422.063743,1410,551.842847
408.475424,340,557.540095
-1331.52685,340,558.698984
-1821.752468,1042,560.474164
196.198043,340,561.309166
338.65123,411,562.201895
155.178413,340,563.106315
664.544573,418,564.04933
-1287.037924,633,565.240961
-3033.189577,2121,567.873668
288.805986,340,568.971547
1571.572056,413,570.463562
142.303173,342,571.713387
381.72911,340,572.995089
-1616.110296,1196,579.437391
-664.708564,414,580.523261
-363.124198,435,581.561894
-941.558348,414,582.514266
-427.386272,414,583.48199
-439.142017,426,584.467078
-2410.314392,1178,586.171298
-2261.034712,1249,588.064495
-1582.765972,1132,589.880021
339.821357,2121,593.532248
474.312387,413,599.353529
283.056285,415,600.431401
123.615713,340,601.372926
-418.451506,414,602.373967
-698.79272,340,603.301881
-2672.341101,1185,605.007256
-917.94167,1976,607.551621
-839.277984,824,608.962048
784.150794,418,609.968695
-902.099448,2700,616.076438
-316.867623,340,617.361881
-511.262853,410,618.318828
-902.914602,1208,620.20411
-504.224455,340,621.362228
577.058227,340,622.432431
950.968404,413,623.588675
215.2494,340,624.529405
-1228.165223,785,625.900115
1254.490255,1391,627.99683
-2607.13393,1231,630.005576
