#{"t_start": 1762127389.5289655, "env_id": "None"}
r,l,t
688.005334,706,855.231701
782.910757,659,856.647893
510.41745,882,860.639186
654.615308,760,861.792774
456.397587,489,863.116764
493.785925,595,864.684369
480.557835,552,865.905544
958.614652,731,867.225991
558.735435,533,871.673518
645.143993,722,872.985324
625.550442,609,874.023766
549.057099,483,875.294594
586.281779,819,876.517759
575.704224,606,877.613326
409.795986,745,879.062859
720.136246,1036,883.661809
574.922737,615,884.760522
1272.204264,1009,886.767032
667.799757,641,887.995499
672.573895,716,889.132457
1263.59441,995,893.29155
535.28675,512,894.961006
548.729092,610,896.179845
428.397849,648,897.371396
513.653053,589,898.494621
539.10914,717,899.78702
465.926163,632,903.870507
612.438229,657,905.205306
920.258018,806,906.440623
522.548995,529,907.396433
769.469386,935,908.822981
636.733446,734,913.429523
484.161311,476,914.73426
445.279783,522,915.861435
500.741809,489,916.963087
473.60679,585,917.964869
873.971945,747,919.609774
719.28662,774,921.026848
757.2878,867,924.844123
1005.682432,930,926.662197
585.728375,675,928.338763
826.592482,909,929.688092
582.641123,591,931.177349
854.534716,947,935.997818
394.398746,521,936.999753
560.913674,559,938.25673
573.445269,749,939.586461
593.530953,857,941.390783
472.675677,498,942.773004
615.968285,535,943.851408
382.439674,613,947.841922
560.360263,616,949.218175
527.916215,439,950.39243
640.200015,677,951.792184
841.76241,899,953.353374
791.148532,572,954.554291
945.13516,1062,959.113949
607.745664,581,960.149346
746.411825,750,961.622974
707.519883,796,963.092559
606.075418,727,964.455664
694.006703,573,968.007984
732.077611,927,969.55615
702.142357,490,970.883975
657.902716,596,972.2135
598.765637,661,973.550239
581.401495,626,974.713028
457.193842,617,976.045833
576.520561,576,979.983434
566.551808,529,981.138783
681.725061,680,982.299136
725.630485,869,983.626046
572.068058,583,984.662021
754.417735,856,986.513006
802.585104,797,992.042789
864.686707,893,993.870643
532.707828,618,995.77276
972.200555,1085,998.134593
792.032834,1022,1003.846101
544.382174,597,1004.899287
825.026576,831,1006.809654
576.89717,546,1008.53448
873.209052,602,1009.701025
749.071724,639,1010.859618
804.940866,752,1015.010876
467.591795,750,1016.507842
625.003526,902,1018.037463
457.260499,549,1019.314074
581.334162,625,1020.879136
614.311068,749,1022.422727
722.201205,594,1026.558271
581.994864,615,1027.985968
891.623627,934,1029.489833
613.241357,775,1031.563891
603.491896,845,1033.168636
493.557176,687,1034.348908
1077.544479,943,1038.602285
689.680651,683,1040.174087
494.535303,617,1041.66264
517.175592,516,1042.870147
491.524785,568,1044.137745
597.624542,539,1045.436863
695.672629,648,1050.086005
467.775983,578,1051.596925
514.420638,767,1053.239226
563.01815,556,1054.341558
1004.620097,923,1056.333102
542.017003,849,1057.994075
475.880417,495,1062.18222
547.395501,704,1063.547025
801.618006,763,1064.913105
423.922296,629,1066.375995
594.218022,653,1067.855778
656.914202,783,1069.126185
613.555224,698,1073.364219
899.5971,782,1075.328189
551.921417,575,1076.378804
717.669018,614,1077.69592
671.389836,675,1078.802747
604.741441,550,1079.868622
586.522347,710,1084.324967
515.786715,685,1085.439465
717.970302,704,1086.69327
563.090794,608,1088.474348
466.847859,527,1089.89758
768.611263,696,1091.410587
464.615092,660,1095.488224
518.032782,496,1096.583332
627.778374,659,1097.696935
441.568098,601,1099.199893
484.856557,486,1100.542645
529.45201,471,1101.556863
539.358445,574,1102.579525
639.00732,595,1104.301549
1002.130368,818,1110.083007
422.579679,532,1111.632133
902.144892,987,1113.563711
700.102867,731,1115.167313
592.256414,650,1116.980091
951.891029,841,1121.471776
592.775847,703,1123.35423
844.891106,914,1125.770489
579.223599,529,1127.357039
522.136935,512,1128.930555
671.699437,749,1130.256026
687.167311,750,1134.442041
460.527325,452,1135.812496
471.238913,541,1137.200383
760.528489,715,1138.385131
737.19647,645,1139.576812
685.556586,461,1140.554841
790.562583,568,1141.925649
483.390552,457,1146.234639
437.914012,629,1147.325601
497.396336,536,1148.302954
488.692604,515,1149.345202
660.563571,640,1150.418629
627.113953,572,1151.871831
543.28977,577,1153.230105
652.210699,538,1157.431038
583.070619,482,1158.693437
518.672107,446,1160.031851
549.808864,563,1161.705015
618.944123,506,1163.038606
569.308049,809,1164.763365
753.472548,797,1166.444799
555.461704,531,1170.590039
1042.557542,749,1172.049723
532.886892,626,1173.258324
502.586467,483,1174.467751
655.19727,588,1176.231001
725.619586,793,1177.960037
491.99666,473,1179.275546
541.132606,430,1183.680068
1163.253859,1013,1185.578958
530.277816,576,1186.936179
651.128905,702,1188.153628
526.501049,465,1189.201564
799.139987,665,1190.571032
636.680078,699,1195.518496
558.501361,661,1196.855654
1054.506911,894,1198.233913
524.96071,660,1199.284823
534.073658,605,1200.62994
633.243173,610,1202.057717
581.428135,557,1205.926496
1003.385563,1038,1207.408391
523.313192,517,1208.433513
640.361903,847,1210.372801
1207.195752,1110,1212.297058
810.657761,724,1216.335457
446.013018,513,1217.321113
917.193588,680,1218.780212
671.424176,750,1220.038127
541.498814,588,1221.172309
625.37037,612,1222.290649
1110.290809,911,1226.906712
598.715209,566,1228.065687
651.493774,752,1232.178052
902.214026,865,1237.254763
494.794365,597,1239.795269
654.138842,565,1242.202871
465.177666,572,1247.427789
646.659847,591,1248.593089
538.921333,673,1250.00021
563.25717,574,1251.154246
419.669715,497,1252.342011
592.117672,478,1253.375703
659.878764,664,1254.743268
531.982533,646,1258.552802
722.42687,537,1259.552317
493.264597,488,1260.7414
661.987387,774,1262.294629
882.440231,622,1263.992407
575.457137,588,1265.501245
604.45554,713,1267.037391
653.984625,742,1271.624483
761.105245,694,1273.359292
756.211505,595,1275.082721
540.028666,506,1276.616699
475.603087,613,1278.225981
475.034703,530,1279.474699
368.974001,558,1280.834199
445.216048,542,1285.402523
618.094462,522,1287.385142
718.108484,709,1289.542833
252.287938,635,1291.391053
519.226419,576,1293.535526
422.301491,538,1295.564979
735.694155,677,1298.366975
562.381739,637,1303.944332
735.169027,657,1306.148451
546.737007,546,1308.107071
646.909175,489,1309.742194
610.786985,627,1311.826713
620.888561,554,1314.185325
523.312717,467,1315.808475
534.010753,512,1320.831973
776.899927,743,1323.162203
813.191314,530,1324.561469
681.05059,609,1326.799147
427.066337,439,1328.343183
559.01184,581,1329.908422
497.432992,549,1331.436117
500.765639,491,1336.161721
1434.612138,1031,1339.20698
634.192187,404,1340.718443
486.319622,533,1342.476809
652.29915,499,1345.145793
610.400733,515,1348.295464
586.349235,642,1353.620164
445.295546,565,1358.995359
533.13602,747,1362.027662
765.06733,855,1365.798292
434.866045,549,1368.4195
464.550477,481,1370.284187
517.892217,576,1372.836959
635.910099,561,1374.659368
559.242435,540,1380.102243
458.593667,475,1382.113581
920.201705,719,1384.319962
616.792267,511,1386.373272
444.320015,583,1389.134957
639.927274,670,1392.115999
632.661022,583,1394.528141
600.654106,483,1399.428693
654.346861,596,1401.608203
632.721885,664,1403.61208
528.449229,563,1406.230656
995.554404,800,1409.764872
657.005076,656,1412.643834
588.204359,555,1417.492269
892.898758,700,1419.959825
632.296801,621,1421.752199
563.063415,477,1423.799042
442.109503,508,1425.508709
943.840389,793,1427.544039
597.257937,617,1429.892858
743.670848,754,1434.992759
1163.388359,983,1437.3827
547.977599,632,1439.355153
605.191255,531,1441.815893
413.346984,383,1443.30188
525.235725,456,1444.699768
603.02957,699,1449.665743
620.707275,625,1451.723804
569.95062,483,1453.506615
478.47439,479,1455.375682
503.125725,702,1457.044233
503.237782,680,1459.180495
469.887005,487,1461.076383
948.1384,880,1466.426414
278.156127,455,1468.409884
432.179544,639,1471.452389
587.981708,553,1473.53188
918.780061,964,1475.936165
659.763832,630,1477.99876
596.980973,799,1484.14021
917.166924,835,1486.550236
1034.805385,761,1488.916935
590.439762,640,1491.051222
724.403049,667,1493.150533
622.330025,657,1495.24529
386.871352,612,1499.953332
433.998372,615,1502.197497
640.27938,734,1505.247567
704.736267,795,1507.291091
609.757345,620,1509.252147
574.348671,605,1511.126142
465.311934,519,1516.002075
576.353687,593,1517.74142
528.277436,629,1519.516733
653.179364,694,1521.660939
640.547613,614,1523.577476
1063.090095,1009,1526.176309
868.268147,727,1531.298762
583.764415,595,1533.41543
768.677012,929,1536.136327
394.836832,492,1537.825479
395.787379,727,1540.486841
629.151601,619,1542.677668
927.04233,741,1548.130471
1483.21601,1258,1551.692183
634.903836,546,1553.4065
446.526018,451,1555.393384
505.518516,644,1557.268663
472.246914,587,1558.83391
659.110849,707,1563.502412
896.138294,768,1565.615162
542.005903,475,1567.453198
1086.873124,918,1570.066655
968.473388,933,1573.323825
867.56388,848,1578.773947
646.029114,542,1580.345286
735.830007,639,1582.85121
558.128521,589,1584.85995
588.979138,611,1587.068565
790.634174,665,1589.435923
