#{"t_start": 1761663077.470182, "env_id": "None"}
r,l,t
-53.580333,1046,820.650108
53.266667,1229,828.288378
63.076286,1853,831.743494
91.923429,1736,834.935156
42.211,1234,837.334911
73.215667,1212,839.760678
83.572333,340,840.747045
37.777762,1700,848.897988
47.00581,1966,852.466027
64.849667,340,854.050321
82.178333,1714,859.593572
-58.958,734,862.09353
64.133333,340,863.756697
-12.766333,1097,867.439105
47.231238,1815,877.215649
113.311667,1006,879.463259
58.196286,1107,881.780899
-57.331667,554,883.336072
-109.650476,2306,887.283941
73.364667,704,888.908046
-60.516,1149,891.251342
63.072667,1154,893.519206
-76.027,1087,901.049031
64.893667,414,902.057661
63.636524,415,903.112598
28.021714,1412,905.78469
64.031,414,906.799278
-70.845,1118,908.957492
-71.514667,1502,911.697159
58.437667,809,913.499556
57.287286,2050,922.4228
53.963667,815,924.214789
73.896619,411,925.204585
37.863667,1267,927.57513
63.968333,414,928.626374
63.448333,340,929.644379
-94.073333,2366,933.657629
2.600095,1952,942.407311
-76.133333,764,944.164015
93.338333,863,946.078775
48.09,1127,948.360967
-79.803667,1737,951.516273
63.771286,414,952.570643
-90.140952,2474,956.581474
-86.290333,1344,964.677828
-105.687952,856,966.593811
68.694857,415,967.657974
63.528333,414,968.69737
-79.555524,1130,970.961123
57.985667,1065,973.15991
107.236333,1367,975.806142
-70.622,599,977.300683
22.470762,1583,985.419869
-73.356905,1069,987.626145
58.547476,1003,989.598671
23.399667,1013,991.715433
-43.120333,1383,995.203418
97.552667,1122,999.035201
-83.495333,872,1001.227941
-67.17,606,1002.953331
-80.99619,1029,1013.114949
-65.481,919,1015.666698
43.088571,1164,1019.136742
-83.771,699,1021.612022
-43.513238,1062,1024.175239
97.61181,1437,1026.978392
117.893,1229,1029.350056
-73.422333,579,1030.592572
-58.090048,1335,1038.441844
-82.935667,1197,1040.720789
59.284,1198,1043.055452
98.125333,1101,1045.420002
57.893,822,1047.329263
43.061238,1458,1049.94452
-79.265762,1122,1052.254373
58.582667,1086,1060.087123
-66.254333,1178,1062.517279
52.802667,1462,1066.427953
-69.131952,1750,1070.751056
92.782429,1057,1074.693788
53.322,853,1077.632236
93.542857,1881,1088.341464
-66.112667,1093,1090.547072
28.632,1089,1092.600422
47.189333,1648,1095.195848
-43.551619,1612,1097.77357
62.76881,1195,1099.801222
