#{"t_start": 1762123768.8866038, "env_id": "None"}
r,l,t
533.653672,414,668.097468
641.960591,652,669.542453
370.897488,417,670.714996
211.618843,340,671.743862
174.366725,340,672.782578
283.553063,418,673.873118
482.757341,638,678.150169
574.562833,545,679.28618
251.427073,340,680.350133
293.707842,733,681.974234
497.967487,711,683.468926
728.987877,704,685.09367
579.242115,826,686.818986
690.263707,635,690.981537
440.832142,569,692.319062
396.239868,570,693.742927
290.984574,429,694.969468
261.649616,340,696.045757
724.2202,864,697.699087
741.541505,726,699.216079
446.451693,547,703.020009
539.271781,627,704.492678
561.506508,706,706.047107
306.719608,422,707.202789
471.438506,340,708.366795
208.745682,414,709.568165
190.7558,414,710.727785
285.247031,414,711.945029
503.555632,566,715.784714
297.565942,536,717.147162
330.86058,340,718.290167
732.388541,624,719.762465
510.413598,711,721.376339
624.500484,617,723.001139
295.080569,414,724.200732
386.115844,340,725.257049
210.434512,340,728.965161
653.023026,1041,731.026683
501.442548,518,732.436874
777.457983,702,733.93232
414.459757,588,735.410638
429.763753,531,736.795261
367.578201,498,738.14849
294.987784,340,741.852767
447.997086,414,743.013495
353.961818,340,744.092825
250.465084,340,745.220058
296.45922,340,746.299303
286.323206,425,747.389777
174.575559,340,748.457477
777.578114,844,750.278991
585.839698,586,751.928577
490.980809,785,756.492675
419.703685,340,757.598135
308.408117,340,758.723071
543.183018,503,760.105195
707.419051,657,761.64726
434.745815,448,763.021597
408.85596,414,764.257325
1102.162388,901,769.344136
202.366546,424,770.610123
336.905849,340,771.792779
655.316351,688,773.741203
361.22499,414,775.98621
792.689642,602,777.689531
272.394738,340,778.782899
554.999952,464,779.918284
551.778758,508,781.285603
253.239949,340,785.00124
583.305207,581,786.466797
211.523975,340,787.548688
502.40669,545,788.942332
61.740573,340,790.007166
491.384967,340,791.066181
501.937444,466,792.311479
518.095625,625,793.820645
458.647262,1018,798.40119
794.969557,913,800.324703
787.956982,649,801.827566
339.975873,340,802.900688
571.019886,513,804.232565
747.222226,637,805.770193
583.485626,537,807.186314
288.086088,414,810.934946
621.487116,495,812.275343
292.548626,340,813.382517
188.756669,340,814.547222
988.115701,1026,816.724511
388.49484,340,817.7785
617.020376,559,819.036259
468.562515,340,820.058786
369.498253,340,821.127303
521.229479,668,824.928583
469.251052,549,826.256063
526.194609,520,827.61637
652.959595,557,829.000576
516.5071,414,830.212008
426.196081,400,831.302315
376.604017,340,832.336893
466.88962,414,833.517897
787.087826,842,838.295601
132.281234,340,839.438912
443.483677,340,840.466322
276.744698,414,841.611889
433.823033,414,842.819326
763.998966,641,844.398542
526.295233,414,845.688109
376.115988,340,846.643272
589.089227,583,848.144314
354.018662,414,851.759572
151.906187,414,853.007253
355.584251,414,854.227317
265.374997,340,855.317724
285.290317,340,856.419944
621.758001,551,857.819402
668.246688,696,859.368046
607.666228,525,860.81327
272.2614,340,861.967659
486.133963,504,865.727074
345.181318,414,867.036393
