#{"t_start": 1761694551.8166358, "env_id": "None"}
r,l,t
-4.0,940,825.322153
-222.0,640,827.89333
251.0,797,830.961016
-124.0,414,833.041066
-124.0,340,834.87088
-698.0,1414,838.995502
-35.0,735,841.763543
419.0,905,848.631336
148.0,420,850.417527
-98.0,1472,854.572432
148.0,830,857.786037
136.0,796,860.90685
58.0,916,864.153677
151.0,821,867.031345
198.0,810,869.877567
7.0,973,873.022317
379.0,1601,881.871299
-37.0,561,883.948526
-437.0,1041,887.142623
-50.0,414,888.938296
-291.0,701,891.636515
-155.0,1031,895.096758
442.0,918,898.02704
-35.0,603,900.315373
-544.0,902,903.371179
46.0,1042,907.061096
-150.0,414,912.999471
656.0,1546,917.302926
10.0,730,919.828067
-125.0,789,922.891581
-429.0,773,925.784502
-188.0,340,927.600753
50.0,740,930.439318
265.0,967,933.86899
-214.0,340,935.509476
24.0,498,937.557626
194.0,774,940.439843
201.0,2239,950.74123
-352.0,680,953.190464
-427.0,1005,956.3866
443.0,1025,959.578654
-148.0,710,962.288995
201.0,425,964.570489
183.0,1647,969.37783
-312.0,984,976.833861
140.0,682,979.335874
3.0,427,981.159503
-213.0,645,983.617465
-35.0,611,986.079909
-66.0,414,987.965603
-14.0,414,989.860102
273.0,741,992.629797
72.0,340,994.390286
-262.0,724,997.231059
-97.0,1093,1001.000694
26.0,566,1003.569987
-156.0,684,1006.306288
-217.0,773,1013.494459
-131.0,721,1015.978135
-209.0,1119,1019.687693
-156.0,572,1021.913213
457.0,999,1025.251154
-61.0,551,1027.652084
46.0,738,1030.509318
-130.0,340,1032.223527
182.0,640,1034.687616
-56.0,340,1036.539246
-2.0,704,1039.063318
-440.0,1220,1046.853127
389.0,1151,1050.534088
44.0,942,1053.769696
-364.0,1560,1058.596671
-455.0,1223,1062.660643
183.0,711,1065.428919
18.0,340,1067.143553
-171.0,1343,1071.321234
-65.0,719,1078.270042
-192.0,416,1080.095492
-465.0,1345,1083.759858
61.0,729,1086.327273
190.0,1180,1089.895543
121.0,805,1092.963606
-152.0,802,1096.077591
-82.0,628,1098.359957
-44.0,904,1101.46113
116.0,1872,1110.533096
260.0,886,1113.645049
6.0,602,1115.98794
678.0,1760,1121.378721
-299.0,885,1124.319398
-649.0,1013,1127.441146
121.0,955,1130.607999
452.0,1196,1134.02546
-198.0,340,1139.619506
-151.0,583,1141.812917
80.0,414,1143.67693
237.0,643,1146.192697
-182.0,612,1148.618386
-494.0,858,1151.304839
-297.0,841,1154.288259
394.0,954,1157.555166
454.0,1124,1161.073033
897.0,1825,1166.660211
38.0,712,1173.938888
42.0,920,1177.247729
-82.0,340,1178.965198
190.0,424,1181.029843
172.0,812,1184.144354
459.0,1145,1188.107416
-69.0,617,1190.810887
118.0,422,1192.936339
49.0,707,1195.579965
444.0,1484,1200.381273
-184.0,608,1208.114785
-167.0,587,1210.616065
112.0,742,1213.385483
126.0,426,1215.481387
-148.0,340,1217.376231
291.0,791,1220.522009
362.0,418,1222.794393
585.0,1477,1228.03162
-314.0,1248,1232.478507
-324.0,754,1235.371884
824.0,1358,1244.362403
137.0,933,1247.51437
494.0,1230,1251.591144
151.0,741,1254.862974
162.0,414,1257.063735
289.0,1271,1261.844057
-6.0,414,1263.988339
93.0,1313,1268.746296
-62.0,340,1270.644583
-132.0,340,1272.786383
-10.0,340,1274.765052
58.0,876,1282.913368
447.0,1079,1286.456838
-33.0,643,1289.000616
-410.0,1222,1293.402904
-136.0,952,1297.184213
-249.0,563,1299.739755
173.0,391,1302.073647
-226.0,914,1305.629895
107.0,861,1309.010069
264.0,808,1312.341404
103.0,645,1320.447224
64.0,414,1322.547554
-193.0,731,1325.206318
0.0,414,1327.153316
191.0,791,1330.428192
229.0,1247,1334.697257
-93.0,801,1337.683105
-99.0,925,1341.002493
544.0,1466,1345.41171
721.0,1409,1354.504124
318.0,1446,1358.651898
-227.0,603,1361.065786
-399.0,783,1363.835513
-82.0,592,1366.26438
-13.0,647,1368.667681
60.0,340,1370.480669
-41.0,797,1373.363687
705.0,1529,1377.773292
251.0,1913,1387.685926
145.0,1163,1391.301202
71.0,647,1393.929682
380.0,1452,1398.183628
-255.0,1187,1402.165957
209.0,1235,1406.612086
-299.0,775,1409.91002
-448.0,1004,1417.98186
-302.0,1226,1421.66834
64.0,628,1424.275403
-238.0,1218,1428.626681
625.0,1219,1432.981632
-437.0,697,1435.995066
170.0,1368,1440.566524
-63.0,623,1443.119834
-207.0,1319,1452.578406
595.0,1423,1456.828602
-62.0,694,1459.452188
-370.0,1210,1463.434162
779.0,1623,1468.771736
-276.0,1058,1472.391276
154.0,1000,1476.078932
230.0,1472,1485.212942
-155.0,657,1487.802056
-161.0,781,1490.735846
-16.0,340,1492.689097
-132.0,530,1495.142395
-481.0,929,1498.304539
52.0,340,1500.169803
4.0,750,1502.893435
-42.0,740,1505.519744
236.0,708,1508.332217
-95.0,665,1511.176947
198.0,1220,1519.85717
188.0,668,1522.478384
296.0,834,1525.503648
-155.0,743,1528.589192
12.0,340,1530.556385
25.0,807,1534.02515
69.0,571,1536.787588
128.0,414,1539.009588
110.0,810,1541.92155
-38.0,606,1544.162147
255.0,811,1547.00975
547.0,1309,1555.140792
423.0,911,1558.663332
29.0,615,1561.427547
24.0,414,1563.224644
-145.0,547,1565.559069
-39.0,733,1568.55316
-174.0,426,1570.568313
70.0,710,1573.302924
-127.0,511,1575.785318
-88.0,340,1577.871461
291.0,941,1581.308872
295.0,833,1584.457624
102.0,414,1586.353906
-83.0,655,1593.09024
27.0,585,1595.435636
450.0,1280,1599.642347
704.0,1476,1604.415783
109.0,991,1608.041394
-154.0,796,1611.368212
566.0,1340,1615.861178
-40.0,414,1617.910069
328.0,422,1620.103557
149.0,423,1622.241809
64.0,340,1629.112155
106.0,414,1630.984212
93.0,753,1633.831864
-88.0,418,1635.892876
405.0,1007,1639.645488
189.0,603,1642.372692
223.0,891,1646.063524
-156.0,810,1649.148582
-174.0,846,1652.381616
56.0,550,1654.649361
200.0,790,1657.525278
-237.0,763,1660.337592
-96.0,542,1666.713294
105.0,607,1669.185165
319.0,1003,1672.58622
263.0,753,1675.522414
396.0,1008,1679.409834
18.0,340,1681.361616
89.0,863,1684.877464
333.0,1045,1688.604057
38.0,754,1691.475379
-307.0,903,1694.832401
218.0,830,1702.429808
558.0,1110,1706.035031
-35.0,601,1708.43173
-121.0,697,1711.178236
184.0,684,1713.901511
-147.0,1059,1717.631169
38.0,534,1720.086409
-144.0,640,1722.702693
38.0,602,1725.449326
502.0,1406,1729.886091
-58.0,340,1731.647476
12.0,650,1738.546191
500.0,1046,1742.012737
138.0,738,1744.969961
221.0,627,1747.676265
168.0,1436,1752.601917
281.0,987,1755.937181
149.0,557,1758.430596
-262.0,720,1761.340299
241.0,849,1764.763513
50.0,600,1773.08291
612.0,1304,1776.943122
145.0,623,1779.500339
-82.0,624,1782.261641
472.0,1958,1788.54254
-13.0,1109,1792.096118
41.0,1621,1797.175066
687.0,1499,1806.792706
-122.0,708,1809.6428
-133.0,873,1812.82728
30.0,340,1814.744061
30.0,414,1816.954664
82.0,414,1818.980675
-89.0,927,1822.411374
157.0,723,1825.352562
-8.0,340,1827.307602
-189.0,979,1830.89364
-137.0,589,1833.599236
68.0,340,1835.602984
372.0,904,1844.02699
-115.0,851,1847.106916
-134.0,340,1849.002161
-122.0,502,1851.440875
230.0,724,1854.113179
-103.0,587,1856.594741
54.0,414,1859.156805
-84.0,704,1862.960136
47.0,773,1866.870197
-85.0,525,1870.028407
180.0,414,1872.499731
42.0,340,1874.905746
-221.0,1007,1879.568157
74.0,414,1881.716442
156.0,414,1888.016115
-120.0,666,1890.492102
410.0,1126,1894.645013
19.0,553,1897.276397
-75.0,983,1901.026315
235.0,1047,1904.496368
209.0,781,1907.507112
75.0,1043,1911.228323
62.0,340,1913.098769
28.0,1250,1917.00796
121.0,635,1924.017561
-58.0,724,1926.672839
-82.0,620,1929.180754
-22.0,514,1931.45488
427.0,1023,1935.015521
-42.0,340,1936.792193
